pays,tirs,tirs cadrés,possession,passes,précision des passes,fautes,cartons jaunes,cartons rouge,hors-jeu,corners,journée,date,score,points,butteurs
Algérie,13,3,0.69,421,0.83,14,4,0,7,11,2,Dim. 16/01,0,0,
Guinée Équatoriale,8,4,0.31,192,0.6,24,4,0,2,3,2,Dim. 16/01,1,3,Esteban Orozco Fernández Obiang Obono 70' ; 
Algérie,19,8,0.67,493,0.84,14,1,0,2,10,2,Mar. 11/01,0,1,
Sierra Leone,10,1,0.33,240,0.79,11,1,0,3,2,2,Mar. 11/01,0,1,
Cameroun,14,4,0.6,402,0.84,15,1,0,1,6,2,Dim. 09/01,2,3,"Vincent Aboubakar 40' (P), 45+3' (P) ; "
Burkina Faso,11,6,0.4,272,0.79,21,2,0,1,5,2,Dim. 09/01,1,0,Gustavo Sangaré 24' ; 
Cameroun,17,7,0.51,452,0.85,15,2,0,3,7,2,Jeu. 13/01,4,3,"Karl Toko-Ekambi 8', 67' ; Vincent Aboubakar 53', 55' ; "
Éthiopie,12,5,0.49,458,0.86,9,1,0,0,1,2,Jeu. 13/01,1,0,Dawa Hotessa Dukele 4' ; 
Cap-Vert,7,2,0.56,452,0.81,16,2,0,2,4,2,Jeu. 13/01,0,0,
Burkina Faso,11,4,0.44,358,0.77,19,1,0,5,6,2,Jeu. 13/01,1,3,Hassane Bandé 39' ; 
Comores,9,1,0.63,452,0.84,12,1,0,3,3,2,Lun. 10/01,0,0,
Gabon,4,2,0.37,275,0.79,24,1,0,4,1,2,Lun. 10/01,1,3,Aaron Boupendza 16' ; 
Côte d'Ivoire,18,8,0.61,480,0.85,16,0,0,2,10,2,Dim. 01/2022,2,1,Sébastien Haller 25' ; Nicolas Pépé 65' ; 
Sierra Leone,7,4,0.39,312,0.74,14,2,0,0,2,2,Dim. 16/01,2,1,Musa Noah Kamara 55' ; Alhaji Kamara 90+3' ; 
Gabon,14,3,0.47,320,0.78,30,3,0,1,5,2,Ven. 14/01,1,1,Jim Allevinah 88' ; 
Ghana,6,1,0.53,361,0.76,21,4,1,1,3,2,Ven. 14/01,1,1,André Ayew 18' ; 
Gambia,6,1,0.32,216,0.81,11,2,0,2,0,2,Dim. 01/2022,1,1,Musa Barrow 90' (P) ; 
Mali,19,5,0.68,443,0.88,20,3,0,0,7,2,Dim. 16/01,1,1,Ibrahima Koné 79' (P) ; 
Guinée-Bissau,7,3,0.39,285,0.76,18,3,0,0,1,2,Sam. 01/2022,0,0,
Égypte,18,4,0.61,431,0.85,19,1,0,1,8,2,Sam. 15/01,1,3,Mohamed Salah 69' ; 
Guinée,13,4,0.65,420,0.84,11,1,0,1,6,2,Lun. 10/01,1,3,Issiaga Sylla 35' ; 
Malawi,10,6,0.35,224,0.79,14,2,0,2,6,2,Lun. 10/01,0,0,
Guinée Équatoriale,12,2,0.43,374,0.84,11,1,0,2,2,2,Mer. 12/01,0,0,
Côte d'Ivoire,12,2,0.57,477,0.79,16,1,0,1,4,2,Mer. 12/01,1,3,Max-Alain Gradel 5' ; 
Malawi,9,2,0.36,265,0.6,12,2,0,1,2,2,Ven. 14/01,2,3,"Gabadinho Mhango 43', 58' ; "
Zimbabwe,12,5,0.64,458,0.77,14,3,0,0,5,2,Ven. 14/01,1,0,Ishmael Wadi 38' ; 
Maroc,19,9,0.59,471,0.84,17,2,0,4,9,2,Ven. 14/01,2,3,Selim Amallah 16' ; Zakaria Aboukhlal 89' ; 
Comores,7,0,0.41,330,0.76,8,2,0,0,1,2,Ven. 14/01,0,0,
Maroc,12,3,0.62,343,0.84,21,1,0,1,4,2,Lun. 10/01,1,3,Sofiane Boufal 83' ; 
Ghana,5,2,0.38,211,0.79,21,2,0,0,5,2,Lun. 10/01,0,0,
Mauritanie,20,2,0.61,439,0.84,15,2,0,2,5,2,Mer. 12/01,0,0,
Gambia,8,3,0.39,296,0.79,16,3,0,0,4,2,Mer. 12/01,1,3,Ablie Jallow 10' ; 
Nigeria,17,8,0.59,529,0.84,7,2,0,0,3,2,Sam. 01/2022,3,3,Samuel Chukwueze 3' ; Taiwo Awoniyi 45' ; Moses Simon 46' ; 
Soudan,5,2,0.41,385,0.78,16,0,0,1,2,2,Sam. 15/01,1,0,Walieldin Khedr 70' (P) ; 
Nigeria,15,5,0.43,332,0.84,15,0,0,0,6,2,Mar. 11/01,1,3,Kelechi Iheanacho 30' ; 
Égypte,4,2,0.57,455,0.79,6,0,0,1,3,2,Mar. 11/01,0,0,
Soudan,10,4,0.41,335,0.84,18,2,0,4,3,2,Mar. 11/01,0,1,
Guinée-Bissau,9,4,0.59,476,0.79,12,1,0,1,3,2,Mar. 11/01,0,1,
Sénégal,10,2,0.49,242,0.65,14,1,0,0,7,2,Ven. 14/01,0,1,
Guinée,5,1,0.51,250,0.64,26,4,0,1,7,2,Ven. 14/01,0,1,
Sénégal,16,3,0.62,478,0.84,9,1,0,1,4,2,Lun. 10/01,1,3,Sadio Mané 90+7' (P) ; 
Zimbabwe,11,2,0.38,311,0.79,12,2,0,3,4,2,Lun. 10/01,0,0,
Tunisie,8,3,0.56,349,0.84,14,2,0,1,5,2,Mer. 12/01,0,0,
Mali,10,1,0.44,276,0.79,14,2,1,2,6,2,Mer. 12/01,1,3,Ibrahima Koné 48' (P) ; 
Tunisie,13,8,0.55,356,0.77,19,3,0,2,6,2,Dim. 01/2022,4,3,"Hamza Mathlouthi 4' ; Wahbi Khazri 8', 64' ; Seifeddine Jaziri 66' ; "
Mauritanie,11,1,0.45,294,0.78,10,1,0,0,3,2,Dim. 16/01,0,0,
Éthiopie,7,1,0.43,387,0.84,11,1,1,1,1,2,Dim. 09/01,0,0,
Cap-Vert,11,3,0.57,500,0.79,8,1,0,4,6,2,Dim. 09/01,1,3,Júlio Tavares 45+1' ; 
